锦上添花,花好月圆,圆月弯刀,,花开富贵,花开正艳,花开满枝,刀光剑影,影影绰绰,绰约多姿,姿容焕发,发挥光大
见机行事,事倍功半,半斤八两,两肋插刀,刀下留人,一日千里,望洋兴叹,刻骨铭心,不亦乐乎,望而生畏,触目惊心
有声有色,大智若愚,高山流水,一丝不苟,百尺竿头,心驰神往,指鹿为马,一马当先,锦上添花,如鱼得水,同仇敌忾
出类拔萃,桃李满天下,望而却步,朝三暮四,如雷贯耳,望而却步,如梦初醒,惊天动地,独当一面,一蹴而就,人杰地灵
如雷贯耳,惊天动地,一触即发,囊中羞涩,一身是胆,眼界远大,望而生畏,望而却步,如履薄冰,一言九鼎,一鸣惊人
不亦乐乎,大智若愚,一统江湖,朝三暮四,如出一辙,如履薄冰,如鱼得水,身先士卒,前程似锦,孜孜不倦,势不可挡
一帆风顺,呼风唤雨,一蹴而就,举重若轻,炙手可热,万目睽睽,触类旁通,随波逐流,手足无措,慷慨解囊,一目了然
海晏河清,妙不可言,缘木求鱼,倾国倾城,大张旗鼓,呼啸而过,举重若轻,游刃有余,驰骋疆场,博采众长,略而无遗
不容置疑,如雷贯耳,势如破竹,引吭高歌,风云际会,振聋发聩,披荆斩棘,目光如炬,不言而喻,势不可挡,心领神会
呼风唤雨,举重若轻,炙手可热,万目睽睽,触类旁通,随波逐流,手足无措,慷慨解囊,一目了然,海晏河清,妙不可言
缘木求鱼,倾国倾城,大张旗鼓,呼啸而过,游刃有余,驰骋疆场,博采众长,略而无遗,不容置疑,如雷贯耳,势如破竹
引吭高歌,风云际会,振聋发聩,披荆斩棘,目光如炬,不言而喻,势不可挡,心领神会,当机立断,心口如一,心甘情愿
一马平川,滔滔不绝,直抒胸臆,步步为营,势如破竹,异彩纷呈,挥洒自如,处变不惊,铁面无私,大步流星,天花乱坠
乘势而上,坚韧不拔,一丝不苟,气势如虹,高瞻远瞩,一鼓作气,胸有成竹,泰然自若,登堂入室,光辉灿烂,呼之欲出
一帆风顺,独树一帜,情理之中,百折不挠,豁然开朗,心无旁骛,锦上添花,源远流长,如雷贯耳,雷厉风行,一针见血
洞若观火,遍地开花,慷慨解囊,一马当先,引人注目,眼花缭乱,有声有色,铺天盖地,泰山北斗,声势浩大,雄心勃勃
一帆风顺,登峰造极,耳目一新,波澜壮阔,眉目传情,视野开阔,一马当先,面面俱到,前程似锦,蒸蒸日上,进退有度
孜孜不倦,势不可挡,满怀希望,百花齐放,心贪口慧,乘胜追击,轻松愉快,光彩夺目,饱经风雨,刀光剑影,豪情万丈
锦绣前程,举重若轻,令人瞩目,毫不犹豫,一日千里,势在必行,高瞻远瞩,大放异彩,言之凿凿,势不可挡,脍炙人口
天花乱坠,连绵不断,绰绰有余,迎刃而解,兴致勃勃,意气风发,百战百胜,志得意满,出类拔萃,珠联璧合,呼之欲出
一触即发,大展宏图,目标明确,如获至宝,有条不紊,信心百倍,意气风发,不二法门,踌躇满志,如鱼得水,勇往直前
风生水起,前景光明,满怀期待,一马当先,胜券在握,神采飞扬,乘胜追击,气势如虹,百战百胜,如虎添翼,蒸蒸日上
居安思危,矢志不渝,骄阳似火,势不可挡,信心满怀,势如破竹,大展宏图,图穷匕见,有声有色
